ProdDate,MonthlyOil(m3),AvgDlyOil(m3/d),CalDlyOil(m3/d),CumPrdOil(m3),MonthlyGas(E3m3),AvgDlyGas(E3m3/d),CalDlyGas(E3m3/d),CumPrdGas(E3m3),MonthlyWater(m3),AvgDlyWtr(m3/d),CalDlyWtr(m3/d),CumPrdWtr(m3),MonthlyFluid(m3),AvgDlyFluid(m3/d),CalDlyFluid(m3/d),CumPrdFluid(m3),MonInjGas(E3m3),AvgInjGas(E3m3/d),CalInjGas(E3m3/d),CumInjGas(E3m3),MonInjWtr(m3),AvgInjWtr(m3/d),CalInjWtr(m3/d),CumInjWtr(m3),MonInjSlv(E3m3),AvgInjSlv(E3m3/d),CalInjSlv(E3m3/d),CumInjSlv(E3m3),InjHours(hr),PrdHours(hr),Inj/PrdHours(hr),WCT(%),OCT(%),GOR(m3/m3),WGR(m3/E3m3),WOR(m3/m3),NbrofWells,MonInjSteam(m3),AvgInjSteam(m3/d),CalInjSteam(m3/d),CumInjSteam(m3),CumulativeMonth,MonthsNCG,SOR,percent_change_SOR,is_interpolated,MonInjGas(m3),CumInjGas(m3),CumPrdOilSinceSteamInj(m3),OilRate,SteamRate,SteamRateOverOilRate,scaled_steam,scaled_oil,DeltaMonInjSteam(m3),delta_SOR,cSOR,cN/S,Ncg/O,NCG/S,time,NewOilRate,Prod/Inj
2014-04-01,5039.7,167.84,167.99,562279.7,58.7,1.94,1.96,8016.3,15612.9,521.63,520.43,701677.5,20652.6,689.47,688.42,1263957.2,0,0,0,0,0.0,0.0,0.0,27222.0,0,0,0,0,692,11468,12160,75.6,24.4,11.65,265.98,3.1,27,7361.2,255.3,245.37,52623.1,32,0,1.4606424985614224,0.04185081144802982,False,0,0,5039.7,0.4394576212068364,10.637572254335259,24.206138979049697,0.00040749460363873107,0.000565996281654763,,,0.09358883132362773,0.0,0.0,0.0,0.08429386220256194,0.03704358016587473,16.572254335260116
2014-05-01,3761.7,150.94,121.35,566041.4,48.2,1.85,1.55,8064.5,10925.1,453.79,352.42,712602.6,14686.8,604.73,473.77,1278644.0,0,0,0,0,0.0,0.0,0.0,27222.0,0,0,0,0,742,12160,12902,74.39,25.61,12.81,226.66,2.9,27,6153.7,199.04,198.51,58776.8,33,0,1.6358827126033442,11.997474687647024,False,0,0,8801.4,0.3093503289473684,8.293396226415094,26.809075182286612,0.0003406509186561511,0.00042246725255485885,-10627690.5,0.1752402140419218,0.10383834115313827,0.0,0.0,0.0,0.06128904563683648,0.01895978642862564,16.38814016172507
2014-06-01,4876.8,167.89,162.56,570918.2,86.9,3.01,2.9,8151.4,15792.4,553.05,526.41,728395.0,20669.2,720.94,688.97,1299313.2,0,0,0,0,0.0,0.0,0.0,27222.0,0,0,0,0,647,11930,12577,76.41,23.59,17.82,181.73,3.24,25,8137.1,301.84,271.24,66913.9,34,0,1.6685326443569555,1.9958601861897574,False,0,0,13678.2,0.40878457669740154,12.576661514683154,30.76598832639641,0.000450446169003521,0.0005477013842835781,27129341.88000001,0.032649931753611305,0.11720400575774252,0.0,0.0,0.0,0.0766734071094013,0.03134290626916415,18.438948995363216
2014-07-01,5673.7,187.51,183.02,576591.9,106.2,3.52,3.43,8257.6,16833.0,548.9,543.0,745228.0,22506.7,736.4,726.02,1321819.9,0,0,0,0,0.0,0.0,0.0,27222.0,0,0,0,0,643,13672,14315,74.79,25.21,18.72,158.5,2.97,25,8745.0,326.41,282.1,75658.9,35,0,1.5413222412182528,-7.624088361047853,False,0,0,19351.9,0.4149868344060854,13.600311041990668,32.7728735333374,0.0004840977434142128,0.0006371992585321803,11764020.009999994,-0.1272104031387027,0.1312174173796059,0.0,0.0,0.0,0.08128810562658574,0.03373349362884432,21.262830482115085
2014-08-01,5180.549999999999,168.8,169.635,581015.6,101.8,3.54,3.28,8359.4,13160.2,492.7,424.52,758388.2,17583.9,661.5,567.22,1339403.8,0,0,0,0,0.0,0.0,0.0,27222.0,0,0,0,0,719,13171,13890,74.84,25.16,23.01,129.28,2.97,24,9153.2,309.02,300.405,84916.7,36,0,2.0927730180618034,-5.077450613740581,True,0,0,24532.45,0.39333004327689614,12.73045897079277,32.36584438029005,0.0005066945071491107,0.0005818147978900693,10014146.090000018,0.5514507768435506,0.14615218593098017,0.0,0.0,0.0,0.07704594809558377,0.030304486098745455,18.318497913769125
2014-09-01,4687.4,163.12,156.25,585703.0,99.8,3.45,3.33,8459.2,13029.2,450.32,434.31,771417.4,17716.6,613.44,590.55,1357120.4,0,0,0,0,0.0,0.0,0.0,27222.0,0,0,0,0,642,12580,13222,73.54,26.46,21.29,130.55,2.78,24,9561.4,357.44,318.71,94478.1,37,0,2.0398088492554507,-2.5308128664333074,False,0,0,29219.85,0.37260731319554846,14.893146417445482,39.97008617388407,0.0005292912708840085,0.0005264303372479584,11927542.769999968,-0.052964168806352685,0.16130718128471258,0.0,0.0,0.0,0.07528430342889399,0.028051482026438604,19.595015576323988
2014-10-01,3965.3,141.37,127.91,589668.3,91.0,3.03,2.94,8550.2,12039.3,424.66,388.36,783456.7,16004.6,566.02,516.28,1373125.0,0,0,0,0,0.0,0.0,0.0,27222.0,0,0,0,0,682,12437,13119,75.22,24.78,22.95,132.3,3.04,23,10511.7,369.91,339.09,104989.8,38,0,2.6509217461478327,29.959321782305427,False,0,0,33185.15,0.31883090777518697,15.413049853372435,48.34239553788943,0.0005818971125725764,0.0004453330665804774,31535848.04500004,0.611112896892382,0.17804891326191352,0.0,0.0,0.0,0.06174987522915485,0.019687768774315974,18.23607038123167
2014-11-01,3484.5,142.48,116.15,593152.8,67.8,2.43,2.26,8618.0,10378.7,421.48,345.96,793835.4,13863.2,563.96,462.11,1386988.2,0,0,0,0,0.0,0.0,0.0,27222.0,0,0,0,0,720,11800,12520,74.87,25.13,19.46,153.08,2.98,23,9727.9,324.26,324.26,114717.7,39,0,2.7917635241785046,5.312936084791442,False,0,0,36669.65,0.29529661016949155,13.510972222222222,45.75390220181438,0.0005385082262045879,0.00039133560398952753,-28741671.670000043,0.14084177803067188,0.19340328495456818,0.0,0.0,0.0,0.05774938126870404,0.017053196528033835,16.38888888888889
2014-12-01,3596.4,125.79,116.01,596749.2,84.0,2.84,2.71,8702.0,11442.1,398.77,369.1,805277.5,15038.5,524.56,485.11,1402026.7,0,0,0,0,0.0,0.0,0.0,27222.0,0,0,0,0,689,11586,12275,76.09,23.91,23.36,136.22,3.18,24,10462.7,364.45,337.51,125180.4,40,0,2.9092147703258817,4.207062852214105,False,0,0,40266.05,0.3104091144484723,15.18534107402032,48.92040976632172,0.0005791846152109645,0.0004039028171008572,29587493.540000048,0.11745124614737712,0.20977053676821017,0.0,0.0,0.0,0.05878185649173372,0.018246424019236245,16.81567489114659
2015-01-01,2909.6,97.12,93.86,599658.8,68.4,2.23,2.21,8770.4,10579.3,353.27,341.27,815856.8,13488.9,450.4,435.13,1415515.6,0,0,0,0,0.0,0.0,0.0,27222.0,0,0,0,0,720,11099,11819,78.43,21.57,23.51,154.67,3.64,21,10289.5,342.98,331.92,135469.9,41,0,3.5363967555677758,21.558462841560466,False,0,0,43175.65,0.2621497432201099,14.290972222222223,54.51453831950936,0.0005695967673940014,0.000326770002401472,-7478022.580000032,0.6271819852418941,0.2259116350831506,0.0,0.0,0.0,0.046172763488855455,0.012104178092366325,15.415277777777778
2015-02-01,2057.5,74.15,73.48,601716.3,84.9,3.04,3.03,8855.3,10041.4,361.86,358.62,825898.2,12098.9,436.01,432.1,1427614.5,0,0,0,0,0.0,0.0,0.0,27222.0,0,0,0,0,647,8055,8702,82.99,17.01,41.26,118.27,4.88,21,9131.7,338.73,326.13,144601.6,42,0,4.438250303766708,25.50204658962645,False,0,0,45233.15,0.25543140906269396,14.113910355486864,55.25518732123776,0.0005055043297353422,0.0002310727522480852,-52370941.06999997,0.901853548198932,0.2403152449086056,0.0,0.0,0.0,0.03738872718641448,0.009550255268286503,12.449768160741886
2015-03-01,2082.1,67.4,67.16,603798.4,49.0,1.6,1.58,8904.3,11675.5,377.82,376.63,837573.7,13757.6,445.22,443.79,1441372.1,0,0,0,0,0.0,0.0,0.0,27222.0,0,0,0,0,672,8906,9578,84.87,15.13,23.53,238.28,5.61,21,10765.1,384.47,347.26,155366.7,43,0,5.170308822823111,16.494304488305023,False,0,0,47315.25,0.23378621154278015,16.019494047619048,68.52197972628367,0.000595924598928341,0.0002338355175969566,77284729.34999998,0.7320585190564035,0.2573155212070784,0.0,0.0,0.0,0.030888212894274715,0.007221238273879338,13.25297619047619
